epoch 0: lr 0.001000, weight_decay 0.000050
epoch 10: lr 0.001000, weight_decay 0.000080
epoch 20: lr 0.000800, weight_decay 0.000080
epoch 30: lr 0.001000, weight_decay 0.000060
epoch 40: lr 0.001200, weight_decay 0.000060
epoch 50: lr 0.001000, weight_decay 0.000060
epoch 60: lr 0.000800, weight_decay 0.000060
epoch 70: lr 0.000700, weight_decay 0.000100
epoch 80: lr 0.000600, weight_decay 0.000200
epoch 90: lr 0.000400, weight_decay 0.000250
epoch 100: lr 0.000300, weight_decay 0.000210
epoch 115: lr 0.000200, weight_decay 0.000270
epoch 130: lr 0.000230, weight_decay 0.000500
epoch 145: lr 0.000150, weight_decay 0.000700
epoch 160: lr 0.000140, weight_decay 0.000900
epoch 175: lr 0.000100, weight_decay 0.001500
epoch 190: lr 0.000070, weight_decay 0.003000
epoch 205: lr 0.000065, weight_decay 0.005000
epoch 220: lr 0.000050, weight_decay 0.005000
epoch 235: lr 0.000045, weight_decay 0.006000
epoch 250: lr 0.000050, weight_decay 0.007000
epoch 253: lr 0.000030, weight_decay 0.007000
