epoch 0: lr 0.000200, weight_decay 0.000030
epoch 80: lr 0.000195, weight_decay 0.000040
epoch 90: lr 0.000190, weight_decay 0.000050
epoch 100: lr 0.000185, weight_decay 0.000060
epoch 110: lr 0.000180, weight_decay 0.000070
epoch 120: lr 0.000175, weight_decay 0.000080
epoch 130: lr 0.000170, weight_decay 0.000090
epoch 140: lr 0.000165, weight_decay 0.000100
epoch 150: lr 0.000160, weight_decay 0.000110
epoch 160: lr 0.000155, weight_decay 0.000120
epoch 170: lr 0.000150, weight_decay 0.000130
epoch 180: lr 0.000145, weight_decay 0.000140
epoch 190: lr 0.000140, weight_decay 0.000150
epoch 200: lr 0.000135, weight_decay 0.000160
epoch 210: lr 0.000130, weight_decay 0.000170
epoch 220: lr 0.000125, weight_decay 0.000180
epoch 230: lr 0.000120, weight_decay 0.000190
epoch 240: lr 0.000115, weight_decay 0.000200
epoch 250: lr 0.000110, weight_decay 0.000210
epoch 260: lr 0.000105, weight_decay 0.000220
epoch 270: lr 0.000100, weight_decay 0.000230
epoch 280: lr 0.000095, weight_decay 0.000240
epoch 290: lr 0.000090, weight_decay 0.000250
epoch 300: lr 0.000085, weight_decay 0.000260
epoch 310: lr 0.000080, weight_decay 0.000270
epoch 320: lr 0.000075, weight_decay 0.000280
epoch 330: lr 0.000070, weight_decay 0.000290
epoch 340: lr 0.000065, weight_decay 0.000300
epoch 350: lr 0.000060, weight_decay 0.000310
epoch 360: lr 0.000055, weight_decay 0.000320
epoch 370: lr 0.000050, weight_decay 0.000330
epoch 380: lr 0.000045, weight_decay 0.000340
epoch 390: lr 0.000040, weight_decay 0.000350
epoch 400: lr 0.000040, weight_decay 0.000360
epoch 410: lr 0.000040, weight_decay 0.000370
epoch 420: lr 0.000040, weight_decay 0.000380
epoch 430: lr 0.000040, weight_decay 0.000390
